ID,Lat,Lon,Hgt_m,wetDelay,hydroDelay,totalDelay,Datetime
34A1,41.8387,-119.654,1907.6770000000001,0.05940909997301801,1.820406426340889,1.879815526313907,2019-05-13
34A2,41.8531,-119.60739999999998,1862.779,0.06289612200198932,1.8297975799572843,1.8926937019592736,2019-05-13
34A3,41.8507,-119.57709999999996,1831.9470000000001,0.06444323178211953,1.8362435470618743,1.9006867788439936,2019-05-13
34A4,41.8666,-119.4948,1708.2160000000001,0.0704754233682361,1.862073045952256,1.932548469320492,2019-05-13
34NO,41.9291,-119.7086,1768.973,0.06811180445314059,1.8496732710539063,1.917785075507047,2019-05-13
34SO,41.8059,-119.7068,1705.89,0.059826933092936574,1.8630932412388317,1.922920174331768,2019-05-13
5PTS,36.4292,-120.265,56.523,0.117532255754315,2.2538587623619115,2.3713910181162263,2019-05-13
7OAK,37.595,-114.7591,1713.2779999999998,0.05600995544771878,1.8613159540411064,1.9173259094888249,2019-05-13
7ODM,34.1164,-117.09320000000002,762.072,0.1279595750220866,2.0820553703313824,2.2100149453534694,2019-05-13
ACSB,33.2743,-117.44489999999996,-12.296,0.14702685755752898,2.276011423447382,2.423038281004911,2019-05-13
ACSX,33.2743,-117.44489999999996,-12.290999999999999,0.1470266036669103,2.2760102161676423,2.4230368198345524,2019-05-13
AERO,32.8075,-117.12440000000004,92.691,0.15195364150876126,2.2513438812723376,2.403297522781098,2019-05-13
AGMT,34.5943,-116.4294,1337.8229999999999,0.06274634174239098,1.9481737917899848,2.010920133532376,2019-05-13
AIAH,33.8492,-117.8625,38.22,0.14722968481754067,2.2640385141492803,2.411268198966821,2019-05-13
AISD,33.0239,-117.0858,141.58700000000005,0.15709448267753573,2.2394698192557634,2.3965643019332985,2019-05-13
ALAM,37.358000000000004,-115.1585,1090.005,0.05897984728651307,1.9972958412980295,2.056275688584543,2019-05-13
ALPP,34.8245,-118.6948,918.073,0.10145774502833924,2.0467945768060067,2.148252321834346,2019-05-13
ALTH,36.8896,-120.6698,18.788,0.11668737719161018,2.2654784855517422,2.3821658627433524,2019-05-13
ANA1,34.015,-119.3635,22.447,0.15117080119423265,2.2668688036262883,2.418039604820521,2019-05-13
ANTB,39.8479,-117.3709,1647.6170000000006,0.04156435174859962,1.8753858188794688,1.9169501706280685,2019-05-13
ANTE,40.1459,-118.1673,1445.115,0.0673152830880693,1.9205144375691483,1.9878297206572173,2019-05-13
ANTV,39.6425,-120.2813,1681.0610000000001,0.10047114243711497,1.8723106728373116,1.9727818152744265,2019-05-13
AOA1,34.1574,-118.83029999999997,246.56099999999998,0.12653569201259046,2.212102467888946,2.3386381599015365,2019-05-13
APEX,36.3191,-114.9318,761.0369999999997,0.05995003524941124,2.0778171646872314,2.1377671999366425,2019-05-13
AQUA,32.6794,-114.48540000000004,35.126999999999995,0.1316924117299229,2.257210511819706,2.3889029235496286,2019-05-13
AR27,33.3418,-117.3249,32.301,0.1591120923318216,2.2653223034204677,2.424434395752289,2019-05-13
AR53,33.3811,-117.4765,111.04,0.14740498396029114,2.246240924841857,2.3936459088021484,2019-05-13
ARGU,36.05,-117.52189999999996,1791.338,0.05730879111460184,1.8477831666185711,1.9050919577331729,2019-05-13
ARM1,35.2013,-118.91039999999998,76.817,0.12818288261300456,2.2471961557066624,2.375379038319667,2019-05-13
ARM2,35.2013,-118.9106,76.813,0.12817613834536412,2.2471983069835026,2.375374445328867,2019-05-13
ARMY,38.4977,-118.4382,1822.02,0.045874850623793734,1.8383759840490712,1.884250834672865,2019-05-13
ARTE,38.9999,-119.40890000000002,1638.3,0.08340179062501216,1.8786885309010195,1.962090321526032,2019-05-13
ASHM,36.3459,-116.13940000000002,885.738,0.07071060535660348,2.0469760612101164,2.11768666656672,2019-05-13
AST1,39.3903,-117.3084,1760.07,0.047822057964668735,1.8490049881903798,1.8968270461550487,2019-05-13
AST2,39.3904,-117.3086,1760.3,0.047823177375320367,1.8489589286822845,1.8967821060576049,2019-05-13
ASTA,38.1694,-121.6845,-16.671,0.10777953510344318,2.277057041902571,2.3848365770060145,2019-05-13
AVRY,34.4683,-117.154,888.9169999999997,0.08603414057484741,2.049979852517488,2.136013993092336,2019-05-13
AZBH,35.1075,-114.60500000000002,151.685,0.1170499048285647,2.221436303109653,2.3384862079382183,2019-05-13
AZDS,35.5331,-114.3592,870.6669999999997,0.09516920055578852,2.053339919122471,2.1485091196782595,2019-05-13
AZFM,34.8522,-114.5951,119.882,0.12391809480303137,2.2303368962506207,2.3542549910536517,2019-05-13
AZGV,35.2544,-114.2543,867.565,0.10730676410002847,2.0538589919142782,2.1611657560143067,2019-05-13
AZKG,35.1903,-114.0525,1005.347,0.10960137979924447,2.022288143146993,2.1318895229462376,2019-05-13
AZLH,34.5083,-114.3471,172.515,0.1268491043511568,2.2198373913670806,2.3466864957182367,2019-05-13
AZMP,35.3706,-114.15369999999996,1271.77,0.09460655587005276,1.9619900654295737,2.0565966212996263,2019-05-13
AZNE,32.6758,-114.59640000000002,34.624,0.12742078839039533,2.2572297130451813,2.3846505014355768,2019-05-13
AZPK,34.1452,-114.29179999999997,100.891,0.1349786688770926,2.2378712014209934,2.3728498702980856,2019-05-13
AZQZ,33.6656,-114.2273,240.24200000000002,0.11900776167355255,2.2058666455948406,2.324874407268393,2019-05-13
AZRY,33.5401,-116.6297,1265.7,0.1224682611643551,1.9678830204543525,2.0903512816187075,2019-05-13
AZU1,34.126,-117.8965,144.77100000000004,0.1581184414071578,2.2326452888209856,2.3907637302281435,2019-05-13
AZYC,34.8793,-114.147,541.036,0.12097263158968118,2.131372163528327,2.252344795118008,2019-05-13
AZYU,32.6583,-114.52710000000002,36.945,0.13014088821648906,2.2568444464417996,2.3869853346582888,2019-05-13
