ID,Lat,Lon,Hgt_m,wetDelay,hydroDelay,totalDelay,Datetime
ANA1,34.015,-119.3635,22.447,0.03539362917327262,2.257902454186581,2.293296083359853,2019-08-17
ANTB,39.8479,-117.3709,1647.6170000000006,0.06834611767183581,1.8784599229089445,1.9468060405807799,2019-08-17
ANTE,40.1459,-118.1673,1445.115,0.08638585294213233,1.9225422534957024,2.0089281064378346,2019-08-17
ANTV,39.6425,-120.2813,1681.0610000000001,0.06923115912193564,1.8722292361308401,1.941460395252776,2019-08-17
AOA1,34.1574,-118.83029999999997,246.56099999999998,0.0554873229262298,2.2057890602400514,2.2612763831662805,2019-08-17
APEX,36.3191,-114.9318,761.0369999999997,0.044607123381865316,2.0709368984227905,2.115544021804656,2019-08-17
AQUA,32.6794,-114.48540000000004,35.126999999999995,0.0574185576047736,2.2444933182754694,2.3019118758802426,2019-08-17
AR27,33.3418,-117.3249,32.301,0.03236364195895131,2.2557009931999943,2.2880646351589453,2019-08-17
AR53,33.3811,-117.4765,111.04,0.027725824560762974,2.2373247952805424,2.2650506198413054,2019-08-17
ARGU,36.05,-117.52189999999996,1791.338,0.041733325132419216,1.8480567651189397,1.8897900902513587,2019-08-17
ARM1,35.2013,-118.91039999999998,76.817,0.05416973039910867,2.235473311508249,2.289643041907358,2019-08-17
ARM2,35.2013,-118.9106,76.813,0.05417016466205887,2.2354751376239355,2.289645302285994,2019-08-17
ARMY,38.4977,-118.4382,1822.02,0.08465913551050548,1.8409548046258253,1.925613940136331,2019-08-17
ARTE,38.9999,-119.40890000000002,1638.3,0.07116204655152943,1.8796850814259325,1.9508471279774615,2019-08-17
ASHM,36.3459,-116.13940000000002,885.738,0.03907737843325554,2.042962765141692,2.082040143574948,2019-08-17
AST1,39.3903,-117.3084,1760.07,0.06808683318979596,1.852919476143352,1.921006309333148,2019-08-17
AST2,39.3904,-117.3086,1760.3,0.06808252352244508,1.8528740948128408,1.9209566183352855,2019-08-17
ASTA,38.1694,-121.6845,-16.671,0.07584029094587481,2.262751977794762,2.3385922687406366,2019-08-17
AVRY,34.4683,-117.154,888.9169999999997,0.05449917173511164,2.048805118385707,2.1033042901208185,2019-08-17
AZBH,35.1075,-114.60500000000002,151.685,0.045925920543670465,2.2120923662627585,2.258018286806429,2019-08-17
AZDS,35.5331,-114.3592,870.6669999999997,0.03979866455816944,2.0495449608511525,2.0893436254093216,2019-08-17
AZFM,34.8522,-114.5951,119.882,0.045410594909872634,2.2206521673077138,2.266062762217586,2019-08-17
AZGV,35.2544,-114.2543,867.565,0.035630960027106924,2.050913525051953,2.0865444850790604,2019-08-17
AZKG,35.1903,-114.0525,1005.347,0.036524454669321985,2.0202201159020694,2.056744570571392,2019-08-17
AZLH,34.5083,-114.3471,172.515,0.04686892908169616,2.2095759094863188,2.256444838568016,2019-08-17
AZMP,35.3706,-114.15369999999996,1271.77,0.03545829171387675,1.9617889461783504,1.9972472378922268,2019-08-17
AZNE,32.6758,-114.59640000000002,34.624,0.057573111159807386,2.2444260808771617,2.3019991920369693,2019-08-17
AZPK,34.1452,-114.29179999999997,100.891,0.0412930470697586,2.2267039011252407,2.267996948195,2019-08-17
AZQZ,33.6656,-114.2273,240.24200000000002,0.04996431430110654,2.196323358618805,2.2462876729199115,2019-08-17
AZRY,33.5401,-116.6297,1265.7,0.02731298628840317,1.9671929932949672,1.9945059795833704,2019-08-17
AZU1,34.126,-117.8965,144.77100000000004,0.06340105161955355,2.225383129858221,2.2887841814777743,2019-08-17
AZYC,34.8793,-114.147,541.036,0.03843235038434968,2.124714869537235,2.163147219921585,2019-08-17
AZYU,32.6583,-114.52710000000002,36.945,0.057674875834979024,2.2440289968228675,2.3017038726578467,2019-08-17
AZYW,32.6837,-114.6422,10.798,0.05798027270155195,2.249716978124249,2.3076972508258007,2019-08-17
BAK1,35.3519,-119.0208,93.492,0.05233764658675922,2.2326459408002863,2.284983587387045,2019-08-17
BAKR,35.3835,-119.0145,115.258,0.05168384423477871,2.227705683182561,2.2793895274173392,2019-08-17
BALD,37.7834,-118.90139999999997,2749.44,0.03737928429013845,1.6561640851635433,1.6935433694536814,2019-08-17
BAMO,40.4128,-117.20460000000004,1792.47,0.08502630417569157,1.847942560925372,1.9329688651010632,2019-08-17
BAR1,33.4805,-119.0297,14.81,0.0443222387283183,2.2604086328834647,2.3047308716117834,2019-08-17
BATM,36.4035,-116.5116,736.988,0.04554182085859103,2.0762495940814034,2.1217914149399943,2019-08-17
BATT,40.5159,-117.20889999999996,1505.9370000000001,0.09391682321496203,1.9076060681534344,2.0015228913683965,2019-08-17
BBDM,34.5822,-119.98149999999998,204.875,0.04900951241955677,2.2146802180239606,2.263689730443517,2019-08-17
BBRY,34.2643,-116.88419999999996,2051.072,0.02026452803907172,1.7987993695234583,1.81906389756253,2019-08-17
BBUT,41.4388,-118.29499999999996,1264.932,0.0919670893110605,1.9607742921753761,2.0527413814864364,2019-08-17
BCWR,34.9205,-119.4058,1332.942,0.03668836168395482,1.9524347609808248,1.98912312266478,2019-08-17
BDSP,37.5182,-114.0804,1557.9,0.041438877845196107,1.8953866170301703,1.9368254948753667,2019-08-17
BEAT,37.0399,-116.6211,1396.033,0.04264466685050666,1.930281835549929,1.972926502400436,2019-08-17
BEDE,39.8248,-119.8283,1573.559,0.08082294806119861,1.8936657855541181,1.9744887336153163,2019-08-17
BEER,35.5581,-117.78269999999998,835.385,0.026735003385689682,2.055951627609548,2.0826866309952368,2019-08-17
BEES,39.2672,-117.7095,2180.924,0.05628203031537131,1.7684336806694076,1.824715710984779,2019-08-17
