ID,Date,ZTD,wet_delay,hydrostatic_delay,times,sigZTD,Lat,Lon,Hgt_m
7ODM,2019-01-01,2.1142,0.0173,2.0969,0,0.004,34.1164,-117.09320000000002,762.072
7ODM,2019-01-13,2.1934,0.0853,2.1081,0,0.0041,34.1164,-117.09320000000002,762.072
7ODM,2019-01-25,2.1722,0.0481,2.1241,0,0.0037,34.1164,-117.09320000000002,762.072
7ODM,2019-02-06,2.1576,0.0664,2.0912,0,0.0039,34.1164,-117.09320000000002,762.072
7ODM,2019-02-18,2.1656,0.06770000000000001,2.0979,0,0.004,34.1164,-117.09320000000002,762.072
7ODM,2019-03-02,2.2266,0.1158,2.1108,0,0.0043,34.1164,-117.09320000000002,762.072
7ODM,2019-03-14,2.1278,0.0198,2.108,0,0.0029,34.1164,-117.09320000000002,762.072
7ODM,2019-03-26,2.1503,0.0315,2.1188,0,0.0027,34.1164,-117.09320000000002,762.072
7ODM,2019-04-19,2.1994,0.0795,2.1199000000000003,0,0.0026000000000000003,34.1164,-117.09320000000002,762.072
7ODM,2019-05-01,2.1814,0.0788,2.1026,0,0.0029,34.1164,-117.09320000000002,762.072
7ODM,2019-05-13,2.2279,0.1215,2.1064000000000003,0,0.0034,34.1164,-117.09320000000002,762.072
7ODM,2019-05-25,2.2061,0.1021,2.104,0,0.0027,34.1164,-117.09320000000002,762.072
7ODM,2019-06-06,2.2406,0.1323,2.1083,0,0.0024,34.1164,-117.09320000000002,762.072
7ODM,2019-06-18,2.2328,0.12980000000000005,2.103,0,0.0026000000000000003,34.1164,-117.09320000000002,762.072
7ODM,2019-07-12,2.2023,0.08750000000000001,2.1148,0,0.0028,34.1164,-117.09320000000002,762.072
7ODM,2019-07-24,2.3522,0.2359,2.1163,0,0.0037,34.1164,-117.09320000000002,762.072
7ODM,2019-08-05,2.2307,0.1167,2.114,0,0.0026000000000000003,34.1164,-117.09320000000002,762.072
7ODM,2019-08-17,2.1658000000000004,0.0568,2.109,0,0.0027,34.1164,-117.09320000000002,762.072
7ODM,2019-08-29,2.2526,0.1404,2.1122,0,0.0025,34.1164,-117.09320000000002,762.072
7ODM,2019-09-10,2.1821,0.07859999999999999,2.1035,0,0.0029,34.1164,-117.09320000000002,762.072
7ODM,2019-09-22,2.1681,0.05810000000000001,2.11,0,0.0023,34.1164,-117.09320000000002,762.072
7ODM,2019-10-04,2.1543,0.0469,2.1074,0,0.0026000000000000003,34.1164,-117.09320000000002,762.072
7ODM,2019-10-16,2.1794,0.0635,2.1159000000000003,0,0.0029,34.1164,-117.09320000000002,762.072
7ODM,2019-10-28,2.1787,0.08259999999999999,2.0961,0,0.0026000000000000003,34.1164,-117.09320000000002,762.072
7ODM,2019-11-09,2.1554,0.0312,2.1242000000000005,0,0.0027,34.1164,-117.09320000000002,762.072
7ODM,2019-12-03,2.213,0.0929,2.1201,0,0.0024,34.1164,-117.09320000000002,762.072
7ODM,2019-12-15,2.1912,0.0918,2.0994,0,0.0028,34.1164,-117.09320000000002,762.072
7ODM,2019-12-27,2.1651,0.07390000000000001,2.0912,0,0.0025,34.1164,-117.09320000000002,762.072
ACSB,2019-01-01,2.3715,0.06770000000000001,2.3038000000000003,0,0.0025,33.2743,-117.44489999999996,-12.296
ACSB,2019-01-13,2.4281,0.1122,2.3159,0,0.0023,33.2743,-117.44489999999996,-12.296
ACSB,2019-01-25,2.3781,0.0483,2.3298,0,0.0021000000000000003,33.2743,-117.44489999999996,-12.296
ACSB,2019-02-06,2.3782,0.07529999999999999,2.3029,0,0.0021000000000000003,33.2743,-117.44489999999996,-12.296
ACSB,2019-02-18,2.3928000000000003,0.08209999999999999,2.3107,0,0.0025,33.2743,-117.44489999999996,-12.296
ACSB,2019-03-02,2.4718000000000004,0.15180000000000002,2.32,0,0.0022,33.2743,-117.44489999999996,-12.296
ACSB,2019-03-14,2.3883,0.0717,2.3166,0,0.003,33.2743,-117.44489999999996,-12.296
