ID,Lat,Lon,Hgt_m
CAMV,39.1483,-121.59249999999997,-4.421
CANC,33.886,-117.57310000000001,151.385
CAND,35.9394,-120.43369999999999,568.378
CANI,33.2375,-115.5172,-69.02
CAOD,37.7694,-120.83780000000002,20.957
CAOR,32.9327,-115.29160000000002,-23.813
CAOS,33.1978,-117.37810000000002,-3.373
CAOV,39.4963,-121.6098,38.134
CAOX,34.1908,-119.1737,-14.478
CAP1,37.7142,-122.22210000000001,-20.848
CAP4,37.4303,-121.06780000000003,-4.594
CAP6,37.3949,-122.15049999999997,42.489
CAPE,33.7466,-118.2801,-13.992
CAPL,37.6956,-121.90160000000003,78.726
CAPV,38.6973,-120.82420000000002,529.685
CAR1,33.9209,-117.41660000000002,239.184
CARA,33.0427,-116.86670000000004,413.834
CARH,35.8884,-120.43079999999998,480.252
CARK,38.7904,-121.31259999999997,18.317
CARR,35.8883,-120.43079999999998,478.642
CARS,39.1449,-119.79939999999999,1750.247
CAS4,33.7595,-117.91300000000001,-1.248
CAS6,33.7594,-117.91300000000001,-1.883
CASA,37.6446,-118.89670000000001,2390.377
CASD,32.8143,-117.12239999999997,104.745
CASE,33.4554,-117.404,776.484
CASI,40.8327,-119.23720000000003,1266.504
CASJ,33.8073,-116.97140000000002,442.788
CASM,34.0177,-118.4717,30.189
CASN,34.4157,-119.84530000000001,3.483
CASR,38.4407,-122.74700000000001,11.46
CASU,36.959,-122.0546,2.424
CASZ,36.959,-122.0546,2.418
CAT1,33.4458,-118.483,3.917
CAT2,33.3116,-118.3338,477.241
CAT3,33.4458,-118.483,5.122
CAT8,37.6938,-121.4479,25.927
CATC,33.8462,-118.35570000000001,6.867
CATE,33.5142,-117.17809999999997,290.962
CATF,35.1492,-119.45979999999997,259.875
CATK,39.3355,-120.16989999999998,1796.429
CATL,37.5012,-120.84450000000004,13.824
CAVI,34.5113,-117.3229,879.582
CAWI,39.5216,-122.21569999999997,19.839
CAWO,36.4003,-119.10379999999998,104.202
CAWS,33.07,-115.7353,-79.146
CAWV,34.1593,-118.83280000000002,247.524
CAYC,39.1453,-121.64260000000002,-4.109
CBAD,33.1213,-117.31759999999997,-5.337
CBHS,34.1386,-118.62979999999999,284.61
CCCC,35.5653,-117.6712,813.98
CCCO,33.8763,-118.21119999999996,-16.944
CCCS,33.8627,-117.86490000000003,31.822
CCSF,37.7488,-122.40049999999997,-16.414
CCST,34.8064,-119.01350000000002,1578.091
CCWR,36.1102,-115.0387,494.701
CCYN,39.1024,-119.34770000000003,1532.104
CDMT,34.8295,-116.33590000000004,936.558
CERB,35.4646,-114.04089999999997,936.201
CERR,36.5364,-117.8209,2043.444
CGDM,34.244,-117.9649,704.681
CHAB,37.7241,-122.11930000000001,213.928
CHIA,37.8382,-118.207,1982.909
CHIL,34.3334,-118.02600000000001,1567.505
CHLO,36.7465,-116.76549999999997,864.224
CHMS,34.6405,-117.8277,760.296
CHNA,39.7203,-117.06190000000004,1887.508
CHO5,39.4326,-121.66499999999996,16.647
CHO6,39.4329,-121.66489999999999,17.214
CHOR,35.3327,-120.7348,66.957
CHOW,37.0849,-120.21050000000002,46.661
CINN,39.8053,-118.88480000000004,1288.991
CIRX,34.1096,-118.9373,488.212
CIT1,34.1367,-118.12729999999999,215.354
CJMG,34.2712,-117.42449999999997,1584.414
CJMS,34.3138,-117.4794,933.354
CJVG,34.5303,-118.14420000000001,1304.846
CLAR,34.1099,-117.7088,373.623
CLBD,33.1354,-117.31100000000004,20.582
CLIO,39.7675,-120.54939999999999,1486.381
CLOV,40.5584,-114.87419999999997,2084.911
CLV1,36.2146,-115.25819999999999,703.41
CLV2,36.3177,-115.27109999999999,734.125
CLV3,36.182,-115.34979999999996,986.028
CMBB,38.0342,-120.38599999999997,695.713
CME5,40.4418,-124.3963,305.73
CME6,40.4414,-124.3963,304.072
CMNC,38.2063,-120.99950000000001,53.785
CMOD,37.6413,-121.0,28.116
CMP9,34.3532,-118.41139999999996,1138.06
CMPO,32.6866,-116.5265,904.562
CMRP,32.9672,-117.09119999999996,140.938
CNDR,37.8964,-121.27850000000001,-20.744
CNPP,33.8576,-117.6089,300.311
COAG,32.8635,-115.12329999999997,3.653
COAL,40.2502,-118.34609999999998,1410.496
COF1,39.605,-119.24059999999997,1251.989
COKG,32.8505,-115.7285,-46.917
COLD,39.411,-117.85090000000002,1690.819
COLU,38.0888,-118.05399999999997,1468.34
COMA,37.2642,-119.69010000000003,662.359
CON1,38.0017,-122.05560000000003,-17.34
CONW,38.1248,-119.1723,2477.758
COPP,39.915,-118.19690000000003,1280.637
COPR,34.4149,-119.87950000000001,-22.84
CORX,32.4154,-117.2482,74.322
COSJ,36.0634,-117.88099999999997,1176.023
COSO,35.9823,-117.8089,1455.441
COTD,33.7325,-116.38689999999997,27.78
COTT,41.5907,-119.34180000000003,1853.305
COWT,37.91,-118.79309999999998,2206.183
COYA,32.7012,-114.6207,32.98
CPBN,35.0717,-117.57299999999998,835.827
CRAM,37.0812,-116.8184,1480.165
CRAT,36.8077,-116.5693,972.519
CRBT,35.7916,-120.75080000000003,205.434
CRCN,36.114,-119.56799999999998,28.64
CRFP,34.0391,-117.09969999999998,688.825
CRGG,35.2421,-119.72479999999996,1173.058
CRHS,33.8235,-118.27279999999996,-23.524
CRPL,38.7344,-117.50350000000003,2248.756
CRRS,33.0698,-115.73500000000001,-81.906
CRU1,34.0293,-119.78480000000002,702.183
CRYS,39.2491,-120.00970000000001,2098.144
CSCI,34.1684,-119.03899999999999,70.849
CSDH,33.8615,-118.25670000000002,-9.175
CSJB,37.319,-121.85990000000004,19.458
CSN1,34.2535,-118.5238,261.462
CSST,34.4081,-119.37119999999999,162.489
CTDM,34.5165,-118.6132,406.066
CTMS,34.1241,-116.37040000000002,966.48
CUHS,34.9426,-119.6739,635.298
CVHS,34.082,-117.9017,119.084
DAEX,32.2245,-115.41919999999999,399.309
DAM1,34.334,-118.3974,584.161
DAM2,34.3348,-118.39689999999996,583.378
DAM3,34.334,-118.39750000000004,580.008
DAPK,35.2543,-120.7715,388.842
DAVI,39.9564,-120.57849999999996,2007.646
DCAN,35.2115,-120.8451,243.438
DDMN,37.7442,-118.9812,2265.417
DECH,38.0515,-119.0906,1947.579
DEEP,37.3426,-118.04719999999998,1640.693
DELI,37.4327,-120.77459999999996,7.806
DESC,32.8299,-116.64179999999999,957.318
DETR,35.9169,-114.48379999999997,537.908
DEVL,36.4376,-116.27969999999999,751.713
DHLG,33.3898,-115.78800000000001,-83.044
DIAB,37.8786,-121.91560000000004,990.26
DIAM,40.2042,-120.47249999999997,1968.801
DIXN,38.4687,-121.8286,-9.119
DLNO,35.75,-119.24310000000003,63.906
DLUZ,33.4306,-117.30719999999997,212.696
DMAR,32.9277,-117.21690000000001,81.119
DNNL,38.3307,-119.92869999999999,1921.001
DOND,37.2643,-119.69010000000003,665.739
DONO,36.6925,-119.01800000000003,1187.94
DOT1,39.1562,-119.76339999999999,1415.789
DOYL,40.0259,-120.14729999999997,1686.228
DREW,36.0058,-119.95839999999998,44.04
DRYC,38.6068,-117.33000000000004,1953.784
DRYV,40.4015,-119.85210000000001,1288.756
DS13,35.2478,-116.79150000000004,1044.2
DSHS,34.0239,-118.3485,-2.103
DSME,33.0365,-117.24950000000001,56.126
DSSC,33.7333,-116.71209999999996,1660.869
DTPG,35.2675,-117.84590000000003,910.255
DUBP,37.7276,-121.8551,202.721
DUNF,37.3136,-117.3089,1961.436
DVAL,38.7636,-119.77010000000001,1729.559
DVLE,33.7006,-117.0007,532.51
DVLS,33.6911,-117.05359999999996,508.621
DVLW,33.6577,-117.06740000000002,528.076
DVNE,33.6935,-116.99369999999999,508.36
DVNW,33.6734,-117.0661,509.124
DVPB,34.4134,-117.86009999999999,1430.856
DVSE,33.6808,-116.99040000000002,508.617
DVSW,33.6679,-117.0661,509.071
DYER,37.7428,-118.03930000000003,1511.925
DYH2,33.9383,-118.1275,10.838
DYHS,33.938,-118.12599999999998,1.467
EAGL,36.1916,-116.36689999999999,583.906
EBBS,38.5476,-119.8159,2732.187
EBMD,37.815,-122.28380000000004,-16.026
ECCO,33.8868,-118.32900000000001,-19.345
ECFS,33.6477,-117.4117,801.417
ECHO,37.9155,-114.26419999999996,1684.103
EDNA,40.901,-117.31470000000002,1476.175
EDPP,34.9462,-118.8304,379.808
EGAN,39.3452,-114.93889999999999,1998.272
ELDO,38.6054,-121.0582,125.637
ELGI,37.3546,-114.52189999999996,1189.0
ELKG,38.4018,-121.35339999999997,-8.704
ELKO,40.9147,-115.81720000000001,2016.885
ELLY,33.5835,-118.12880000000001,-2.878
ELSC,34.0297,-118.20839999999998,61.179
ELSG,33.6491,-117.42599999999999,811.341
ELTN,34.7031,-118.4257,916.482
ELTS,34.5993,-118.4538,887.09
ENGL,39.4615,-120.53719999999998,1912.828
EOCG,34.4508,-119.76980000000003,42.473
EPAS,37.9197,-117.88069999999999,1817.113
ERRG,33.1164,-115.8227,-92.406
ESC1,33.1162,-117.11220000000003,181.877
ESCN,33.1289,-117.11829999999998,176.255
ESE2,33.6748,-116.9939,512.816
ESRW,33.6818,-117.06700000000001,548.62
EVER,41.8646,-120.58269999999999,1579.601
EWLK,38.6927,-118.63810000000001,1327.783
EWPP,34.1042,-117.5256,330.491
FARB,37.6972,-123.00080000000003,-21.723
FARR,40.513,-118.73410000000001,1610.642
FCTF,34.0666,-118.44209999999998,148.455
FERI,40.0765,-120.30830000000003,1796.202
FGNW,34.0509,-118.25940000000003,273.436
FGSE,34.0507,-118.25919999999996,273.427
FGST,34.733,-120.00940000000003,904.076
FGSW,34.0507,-118.25940000000003,273.423
FHFF,34.5147,-118.60969999999998,334.464
FHOG,34.0935,-116.9359,1588.675
FIRE,39.9036,-119.0899,1426.697
FISH,37.5671,-118.00649999999996,1621.015
FITT,40.3321,-118.09249999999997,1454.688
FLAN,40.1583,-119.82010000000002,1263.63
FLAT,38.304,-118.4631,1895.098
FLEM,40.418,-120.27980000000002,1360.305
FLN1,39.4666,-118.76369999999997,1187.352
FMTP,34.4099,-118.89409999999998,362.816
FMVT,34.3563,-118.88400000000001,617.0
FOST,41.1089,-120.79200000000003,1617.22
FOXG,34.7339,-118.2405,688.815
FOXR,40.5752,-119.47230000000002,1299.992
FPPB,37.3135,-120.47120000000001,29.162
FRE1,36.8198,-119.73169999999999,80.421
FREN,39.8838,-120.22219999999999,1835.815
FRFD,38.223,-122.13919999999996,-14.365
FRG1,39.3963,-118.63459999999998,1248.546
FRG2,39.3566,-118.63659999999999,1251.081
FRG3,39.3822,-118.70659999999998,1170.79
FRG4,39.3892,-118.69730000000004,1171.427
FRG5,39.4216,-118.71100000000001,1179.33
FSHB,32.945,-115.79989999999998,134.95
FVPK,33.6623,-117.9357,-11.513
FXHS,34.0806,-118.35950000000003,33.321
FZHS,34.8002,-118.89340000000004,1273.707
GABB,38.9703,-117.91640000000001,1550.281
GALE,36.2191,-114.73900000000003,598.548
GARC,40.4169,-119.35559999999998,1643.832
GARD,36.1611,-114.94119999999998,571.0
GARL,40.4165,-119.3555,1640.227
GARR,40.6256,-118.97929999999997,1738.941
GASB,39.6547,-122.71590000000003,1361.937
GDEC,35.1894,-119.8637,566.233
GEIG,39.3837,-119.70100000000002,1726.694
GEMF,37.745,-117.29849999999999,1857.523
GEND,39.0895,-117.1619,1791.811
GEOR,38.2223,-116.6877,1805.054
GERL,40.6498,-119.36090000000002,1186.778
GHRP,34.2039,-117.39789999999999,628.617
GILL,38.6729,-118.50850000000003,2036.121
GIRL,39.6284,-120.00530000000003,1610.02
GISA,34.0693,-117.2183,343.471
GLRS,33.2748,-115.52139999999997,-48.656
GMAG,34.2914,-116.38260000000002,866.738
GMPK,33.0511,-114.82730000000004,591.182
GMRC,34.784,-115.66020000000003,1298.184
GNPS,34.3086,-114.18939999999998,232.362
GOAT,36.5267,-114.06780000000003,1453.179
GOL2,35.4252,-116.88929999999999,986.692
GOLD,35.4252,-116.88929999999999,986.689
GOLM,40.4618,-117.60050000000001,1465.182
GOSH,40.6402,-114.17970000000003,1560.193
GR8R,36.399,-120.41570000000002,206.026
GR8V,36.399,-120.41579999999999,204.296
GRAN,40.0869,-119.04910000000001,1517.311
GRAV,41.3499,-120.60519999999997,1380.19
GRDV,38.9125,-119.69220000000001,1496.468
GRES,33.2776,-115.52390000000003,-45.274
GRN5,36.3405,-121.25530000000003,50.591
GVG1,39.0483,-118.10230000000001,1855.811
GVG2,38.8116,-118.05989999999997,1367.505
GVG3,38.8677,-118.2294,1279.133
GVG4,38.8812,-118.39519999999999,1321.13
GVG5,38.9758,-118.25649999999996,1284.928
GVG6,38.9452,-118.16769999999997,1286.69
GVG7,38.8172,-117.92740000000003,1514.245
GVRS,34.0474,-118.11289999999997,154.517
HAND,38.9738,-118.3483,1350.095
HANN,38.0978,-116.8981,1902.334
HAPY,36.0641,-117.2047,400.19
HAR7,35.0115,-117.29920000000004,590.37
HARV,34.4694,-120.68209999999999,14.917
HAZE,39.5868,-119.048,1299.548
HBCO,33.7836,-118.2858,-26.882
HCMN,34.7548,-116.43010000000004,568.744
HCRO,40.8159,-121.4699,1000.14
HEAV,40.7828,-120.72860000000003,1675.315
HELB,36.6788,-119.02300000000002,1105.339
HELL,36.7236,-116.97919999999999,660.013
HELP,36.6802,-119.02279999999996,1120.421
HENN,39.5182,-120.53370000000001,2127.817
HFVV,34.5105,-117.32589999999999,881.985
HIDD,38.841,-118.53120000000001,1535.487
HIGH,36.2831,-116.15280000000001,886.02
HIKO,37.6968,-115.17750000000001,1266.897
HIMT,35.2713,-120.46180000000004,771.495
HIVI,34.7599,-117.79949999999997,930.85
HMTG,33.7081,-117.00149999999996,577.027
HMWD,35.8838,-117.4151,1208.364
HNA1,33.6503,-117.71629999999999,78.039
HNPS,33.705,-115.63530000000003,393.952
HNTS,38.5031,-116.83870000000002,2082.405
HOGS,35.8667,-120.47950000000003,762.836
HOL3,34.4582,-117.8451,1239.408
HOLC,34.4582,-117.84519999999998,1238.23
HOLP,33.9245,-118.16820000000001,-6.72
HOME,35.0478,-114.90129999999999,685.679
HONY,40.08,-119.93669999999997,1307.315
HOOT,33.1051,-116.78539999999998,617.23
HOPB,38.9952,-123.0747,353.263
HORS,40.5923,-120.49520000000001,1624.284
HOTK,37.6586,-118.82130000000001,2143.181
HOTS,41.1544,-117.4742,1897.295
HSIB,37.5921,-122.36940000000004,-23.973
HSIS,38.5372,-121.40769999999998,-11.281
HUAL,35.7392,-114.01890000000003,945.663
HUNG,39.6893,-119.75369999999998,1552.439
HUNT,35.8808,-120.4024,449.338
HVYS,34.4412,-119.1875,373.951
HW50,39.4251,-116.75720000000001,1886.113
HW62,34.065,-114.84469999999999,220.777
HW89,39.5563,-120.3399,1688.82
HW95,37.1934,-116.9452,1227.728
I40A,34.7273,-115.91139999999996,765.296
IBEX,35.8484,-116.36779999999999,700.973
ICKY,38.8817,-117.7373,1960.501
ICOR,37.4663,-117.29830000000004,1555.396
IDOG,33.7968,-116.22149999999999,434.972
IDQG,33.768,-116.23900000000003,-1.331
IID2,32.7062,-115.03179999999998,9.792
IMPS,34.1576,-115.14510000000001,563.227
INDE,36.7976,-118.24689999999998,1390.017
INDI,38.6501,-118.3039,1915.157
INKH,38.7359,-117.017,2119.724
INV1,39.2521,-119.97050000000002,1948.024
IRVI,33.6947,-117.82159999999999,-14.826
ISLK,35.6623,-118.47429999999997,823.37
IVAN,35.7271,-115.41050000000001,942.219
IVCO,32.8294,-115.5068,-53.425
IXLC,39.6625,-118.1866,1239.023
IZZN,40.866,-116.84410000000003,1561.848
JACK,38.114,-118.40629999999999,1724.229
JAKE,41.152,-117.0634,1464.158
JAMI,39.7351,-120.7228,1672.994
JAS1,32.8279,-116.98810000000003,97.534
JEAN,35.851,-115.17790000000002,920.24
JERS,40.278,-117.4377,1500.789
JLN5,35.8732,-120.8329,141.016
JNHG,34.4491,-117.9554,1276.149
JNPR,37.7717,-119.0847,2309.14
JOHN,36.4588,-116.09899999999999,871.711
JONE,37.1522,-114.20179999999999,1124.992
JPL3,34.2016,-118.17430000000002,372.705
JPL4,34.2016,-118.17430000000002,372.709
JPLF,34.2018,-118.17779999999999,360.219
JPLM,34.2048,-118.17320000000001,424.001
JPLQ,34.2018,-118.17779999999999,360.198
JPLT,34.2018,-118.17779999999999,360.199
JPLV,34.2016,-118.17430000000002,372.68
JRSC,37.4062,-122.22739999999999,144.261
JUNG,40.9078,-118.41160000000002,1309.729
JUNI,40.323,-119.06830000000002,1410.092
KBRC,34.3985,-119.00819999999999,370.485
KDL1,36.3196,-119.55650000000003,46.14
KDMM,33.6356,-117.71429999999998,75.935
KEMP,35.6115,-114.4647,899.668
KENN,36.0357,-118.2013,2208.215
KGMN,35.2311,-114.00239999999997,1015.63
KING,35.1974,-114.04150000000004,1129.5
KINS,38.9606,-119.85130000000004,1738.646
KITT,40.0626,-117.91229999999996,1655.583
KMOC,32.825,-117.16219999999998,91.306
KNOL,37.6591,-118.97919999999999,2651.774
KRAC,37.7133,-118.88049999999998,2377.709
KUMI,40.4435,-118.9699,1370.713
KYLE,40.4014,-117.85480000000001,1529.069
KYVW,33.9254,-116.17340000000002,1498.216
LACE,39.4575,-120.44169999999997,2149.679
LACR,40.8508,-115.70370000000003,1653.766
LAKE,39.9361,-119.37530000000004,1186.945
LAN4,34.6724,-118.1275,718.36
LAND,35.8998,-120.4733,568.555
LANT,38.5147,-119.4889,1801.548
LAPC,34.1819,-118.5747,207.813
LAPL,39.3941,-118.30439999999999,1473.208
LASC,33.9279,-118.30650000000003,24.674
LAVA,37.0295,-118.1807,1459.0
LAWS,37.3931,-118.29230000000001,1580.711
LBC1,33.8321,-118.1372,-21.964
LBC2,33.7916,-118.17320000000001,-28.467
LBCH,33.7878,-118.20330000000001,-27.517
LBNO,32.8812,-117.23750000000001,115.147
LBRF,32.8861,-117.2303,56.451
LBSE,32.8811,-117.23750000000001,115.141
LBSW,32.8811,-117.23759999999999,115.143
LDES,34.2673,-116.43279999999999,978.073
LDSW,34.6994,-116.20910000000003,640.928
LEBC,34.8252,-118.87189999999998,1091.08
LEEP,34.1346,-118.3218,485.051
LEIC,37.7752,-121.96870000000001,120.844
LEMA,36.292,-119.7824,34.971
LEMO,39.5809,-120.30770000000001,1646.068
LEVV,34.5163,-117.33190000000002,874.602
LEWI,40.4035,-116.86189999999999,2916.712
LEWY,34.2586,-119.24099999999999,-4.715
LFRS,34.0951,-118.4128,146.894
LGBH,33.7872,-118.21280000000002,-29.209
LGWD,33.6406,-117.7645,88.696
LICE,36.8566,-116.40129999999999,1108.2
LIKE,41.2278,-120.44319999999999,1404.603
LINC,37.6372,-119.01729999999998,3056.94
LIND,36.36,-119.05790000000002,144.268
LINJ,34.662,-118.13919999999996,721.38
LITT,36.7459,-116.3082,1056.479
LIVM,37.703,-121.70209999999997,159.352
LJRN,34.8075,-118.86770000000001,1422.485
LKHG,33.236,-116.75880000000001,823.294
LKN1,40.8599,-115.7423,1582.11
LL01,34.4855,-117.83500000000004,1005.324
LLAS,34.586,-117.83789999999999,812.48
LMHG,33.7442,-117.3913,464.527
LMRR,39.5385,-119.81309999999996,1373.7
LMSG,33.8174,-117.44510000000002,413.094
LNC1,38.8465,-121.35019999999997,5.921
LNC2,38.8465,-121.35050000000001,5.869
LNGV,41.7852,-119.75239999999997,1735.989
