ID,year,path,Lat,Lon,Hgt_m
BFSH,2020,http://geodesy.unr.edu/gps_timeseries/trop/BFSH/BFSH.2020.trop.zip,35.5911,-118.498,791.683
BGIS,2020,http://geodesy.unr.edu/gps_timeseries/trop/BGIS/BGIS.2020.trop.zip,33.9671,-118.1597,2.833
BHIL,2020,http://geodesy.unr.edu/gps_timeseries/trop/BHIL/BHIL.2020.trop.zip,39.3786,-120.118,1988.866
BIGS,2020,http://geodesy.unr.edu/gps_timeseries/trop/BIGS/BIGS.2020.trop.zip,39.286,-116.8249,1877.829
BILL,2020,http://geodesy.unr.edu/gps_timeseries/trop/BILL/BILL.2020.trop.zip,33.5782,-117.06460000000004,470.064
BKAP,2020,http://geodesy.unr.edu/gps_timeseries/trop/BKAP/BKAP.2020.trop.zip,35.287,-116.0804,252.03
BKMS,2020,http://geodesy.unr.edu/gps_timeseries/trop/BKMS/BKMS.2020.trop.zip,33.9623,-118.0947,11.025
BLAC,2020,http://geodesy.unr.edu/gps_timeseries/trop/BLAC/BLAC.2020.trop.zip,39.7965,-119.29470000000003,1282.67
BLKM,2020,http://geodesy.unr.edu/gps_timeseries/trop/BLKM/BLKM.2020.trop.zip,42.6131,-114.8906,1079.379
BLSA,2020,http://geodesy.unr.edu/gps_timeseries/trop/BLSA/BLSA.2020.trop.zip,33.7995,-118.02869999999996,-23.155
BLY1,2020,http://geodesy.unr.edu/gps_timeseries/trop/BLY1/BLY1.2020.trop.zip,42.4068,-121.0491,1313.429
BLYT,2020,http://geodesy.unr.edu/gps_timeseries/trop/BLYT/BLYT.2020.trop.zip,33.6104,-114.7149,85.93
BMHL,2020,http://geodesy.unr.edu/gps_timeseries/trop/BMHL/BMHL.2020.trop.zip,34.2514,-116.053,722.632
BNDM,2020,http://geodesy.unr.edu/gps_timeseries/trop/BNDM/BNDM.2020.trop.zip,44.0894,-121.3075,1070.31
BOBS,2020,http://geodesy.unr.edu/gps_timeseries/trop/BOBS/BOBS.2020.trop.zip,39.448,-116.98199999999996,2185.46
BODI,2020,http://geodesy.unr.edu/gps_timeseries/trop/BODI/BODI.2020.trop.zip,38.2165,-118.969,2468.918
BOMG,2020,http://geodesy.unr.edu/gps_timeseries/trop/BOMG/BOMG.2020.trop.zip,33.3646,-115.72969999999998,-84.205
BONI,2020,http://geodesy.unr.edu/gps_timeseries/trop/BONI/BONI.2020.trop.zip,37.225,-117.17679999999996,1290.342
BRAD,2020,http://geodesy.unr.edu/gps_timeseries/trop/BRAD/BRAD.2020.trop.zip,39.7774,-119.05150000000005,1325.732
BRAN,2020,http://geodesy.unr.edu/gps_timeseries/trop/BRAN/BRAN.2020.trop.zip,34.1849,-118.277,246.245
BRD1,2020,http://geodesy.unr.edu/gps_timeseries/trop/BRD1/BRD1.2020.trop.zip,39.8093,-119.00279999999998,1247.393
BRDY,2020,http://geodesy.unr.edu/gps_timeseries/trop/BRDY/BRDY.2020.trop.zip,39.7813,-119.0086,1269.092
BRI2,2020,http://geodesy.unr.edu/gps_timeseries/trop/BRI2/BRI2.2020.trop.zip,37.9195,-122.15250000000005,265.104
BRID,2020,http://geodesy.unr.edu/gps_timeseries/trop/BRID/BRID.2020.trop.zip,38.207,-119.31100000000004,2127.489
BRNT,2020,http://geodesy.unr.edu/gps_timeseries/trop/BRNT/BRNT.2020.trop.zip,44.4402,-118.1913,1212.699
BROK,2020,http://geodesy.unr.edu/gps_timeseries/trop/BROK/BROK.2020.trop.zip,39.1688,-117.94259999999996,1820.646
BRVL,2020,http://geodesy.unr.edu/gps_timeseries/trop/BRVL/BRVL.2020.trop.zip,38.4942,-120.04129999999998,2387.859
BSRY,2020,http://geodesy.unr.edu/gps_timeseries/trop/BSRY/BSRY.2020.trop.zip,34.9186,-117.012,613.472
BTDM,2020,http://geodesy.unr.edu/gps_timeseries/trop/BTDM/BTDM.2020.trop.zip,34.2928,-118.1882,678.244
BUEG,2020,http://geodesy.unr.edu/gps_timeseries/trop/BUEG/BUEG.2020.trop.zip,34.6128,-120.19640000000004,74.803
BURN,2020,http://geodesy.unr.edu/gps_timeseries/trop/BURN/BURN.2020.trop.zip,42.7795,-117.8435,1180.921
BUTM,2020,http://geodesy.unr.edu/gps_timeseries/trop/BUTM/BUTM.2020.trop.zip,37.3464,-118.55489999999998,1779.381
BVPP,2020,http://geodesy.unr.edu/gps_timeseries/trop/BVPP/BVPP.2020.trop.zip,35.1573,-119.34749999999995,123.05
CA00,2020,http://geodesy.unr.edu/gps_timeseries/trop/CA00/CA00.2020.trop.zip,34.4126,-118.5537,332.89
CA29,2020,http://geodesy.unr.edu/gps_timeseries/trop/CA29/CA29.2020.trop.zip,34.136,-116.05200000000002,576.708
CA99,2020,http://geodesy.unr.edu/gps_timeseries/trop/CA99/CA99.2020.trop.zip,37.6446,-118.8967,2391.538
CAAT,2020,http://geodesy.unr.edu/gps_timeseries/trop/CAAT/CAAT.2020.trop.zip,35.4715,-120.654,263.986
CAB5,2020,http://geodesy.unr.edu/gps_timeseries/trop/CAB5/CAB5.2020.trop.zip,35.2757,-116.07349999999995,261.926
CABD,2020,http://geodesy.unr.edu/gps_timeseries/trop/CABD/CABD.2020.trop.zip,34.1043,-117.28340000000004,284.005
CABK,2020,http://geodesy.unr.edu/gps_timeseries/trop/CABK/CABK.2020.trop.zip,35.3507,-118.9688,92.481
CABS,2020,http://geodesy.unr.edu/gps_timeseries/trop/CABS/CABS.2020.trop.zip,34.8945,-117.05,636.179
CABU,2020,http://geodesy.unr.edu/gps_timeseries/trop/CABU/CABU.2020.trop.zip,35.5,-119.546,49.789
CABY,2020,http://geodesy.unr.edu/gps_timeseries/trop/CABY/CABY.2020.trop.zip,33.6088,-114.61019999999996,53.07
CAC1,2020,http://geodesy.unr.edu/gps_timeseries/trop/CAC1/CAC1.2020.trop.zip,33.7992,-116.4056,78.938
CAC2,2020,http://geodesy.unr.edu/gps_timeseries/trop/CAC2/CAC2.2020.trop.zip,35.0998,-117.98929999999996,715.8
CACD,2020,http://geodesy.unr.edu/gps_timeseries/trop/CACD/CACD.2020.trop.zip,38.0107,-122.0403,-9.207
CACH,2020,http://geodesy.unr.edu/gps_timeseries/trop/CACH/CACH.2020.trop.zip,39.7141,-121.8053,43.424
CACJ,2020,http://geodesy.unr.edu/gps_timeseries/trop/CACJ/CACJ.2020.trop.zip,32.7458,-116.9438,103.554
CACL,2020,http://geodesy.unr.edu/gps_timeseries/trop/CACL/CACL.2020.trop.zip,33.4119,-117.60040000000004,28.908
CACM,2020,http://geodesy.unr.edu/gps_timeseries/trop/CACM/CACM.2020.trop.zip,32.6246,-116.4753,769.031
CACO,2020,http://geodesy.unr.edu/gps_timeseries/trop/CACO/CACO.2020.trop.zip,36.1764,-120.3596,193.781
CACR,2020,http://geodesy.unr.edu/gps_timeseries/trop/CACR/CACR.2020.trop.zip,40.3096,-121.22910000000002,1364.493
CACT,2020,http://geodesy.unr.edu/gps_timeseries/trop/CACT/CACT.2020.trop.zip,33.6551,-115.98990000000003,518.433
CACX,2020,http://geodesy.unr.edu/gps_timeseries/trop/CACX/CACX.2020.trop.zip,32.6718,-115.52660000000004,-27.565
CAD1,2020,http://geodesy.unr.edu/gps_timeseries/trop/CAD1/CAD1.2020.trop.zip,35.7594,-119.24379999999996,69.584
CADY,2020,http://geodesy.unr.edu/gps_timeseries/trop/CADY/CADY.2020.trop.zip,37.728,-122.505,-4.121
CAEC,2020,http://geodesy.unr.edu/gps_timeseries/trop/CAEC/CAEC.2020.trop.zip,32.7914,-115.56489999999997,-41.785
CAEG,2020,http://geodesy.unr.edu/gps_timeseries/trop/CAEG/CAEG.2020.trop.zip,38.3811,-121.36509999999998,-9.811
CAES,2020,http://geodesy.unr.edu/gps_timeseries/trop/CAES/CAES.2020.trop.zip,33.701,-117.3127,450.897
CAFA,2020,http://geodesy.unr.edu/gps_timeseries/trop/CAFA/CAFA.2020.trop.zip,38.2491,-122.0679,-12.122
CAFM,2020,http://geodesy.unr.edu/gps_timeseries/trop/CAFM/CAFM.2020.trop.zip,41.0179,-121.4311,996.43
CAFP,2020,http://geodesy.unr.edu/gps_timeseries/trop/CAFP/CAFP.2020.trop.zip,36.424,-120.10199999999998,38.521
CAFR,2020,http://geodesy.unr.edu/gps_timeseries/trop/CAFR/CAFR.2020.trop.zip,36.8144,-119.7475,90.457
