ID,year,path,Lat,Lon,Hgt_m
BEER,2016,http://geodesy.unr.edu/gps_timeseries/trop/BEER/BEER.2016.trop.zip,35.5581,-117.78269999999998,835.385
BEMT,2016,http://geodesy.unr.edu/gps_timeseries/trop/BEMT/BEMT.2016.trop.zip,34.0005,-115.9982,1373.6629999999998
BEPK,2016,http://geodesy.unr.edu/gps_timeseries/trop/BEPK/BEPK.2016.trop.zip,35.8784,-118.0741,2471.124
BFLD,2016,http://geodesy.unr.edu/gps_timeseries/trop/BFLD/BFLD.2016.trop.zip,35.4131,-119.0453,108.375
BFLT,2016,http://geodesy.unr.edu/gps_timeseries/trop/BFLT/BFLT.2016.trop.zip,38.8539,-119.6759,1597.102
BFSH,2016,http://geodesy.unr.edu/gps_timeseries/trop/BFSH/BFSH.2016.trop.zip,35.5911,-118.498,791.683
BGIS,2016,http://geodesy.unr.edu/gps_timeseries/trop/BGIS/BGIS.2016.trop.zip,33.9671,-118.1597,2.833
BILL,2016,http://geodesy.unr.edu/gps_timeseries/trop/BILL/BILL.2016.trop.zip,33.5782,-117.06460000000004,470.064
BKAP,2016,http://geodesy.unr.edu/gps_timeseries/trop/BKAP/BKAP.2016.trop.zip,35.287,-116.0804,252.03
BKMS,2016,http://geodesy.unr.edu/gps_timeseries/trop/BKMS/BKMS.2016.trop.zip,33.9623,-118.0947,11.025
BKR1,2016,http://geodesy.unr.edu/gps_timeseries/trop/BKR1/BKR1.2016.trop.zip,35.1324,-119.10950000000004,56.875
BKR2,2016,http://geodesy.unr.edu/gps_timeseries/trop/BKR2/BKR2.2016.trop.zip,35.1326,-119.10929999999996,56.787
BLIN,2016,http://geodesy.unr.edu/gps_timeseries/trop/BLIN/BLIN.2016.trop.zip,37.758,-118.50400000000002,1856.838
BLSA,2016,http://geodesy.unr.edu/gps_timeseries/trop/BLSA/BLSA.2016.trop.zip,33.7995,-118.02869999999996,-23.155
BLUM,2016,http://geodesy.unr.edu/gps_timeseries/trop/BLUM/BLUM.2016.trop.zip,40.9492,-118.0475,1364.662
BLYT,2016,http://geodesy.unr.edu/gps_timeseries/trop/BLYT/BLYT.2016.trop.zip,33.6104,-114.7149,85.93
BMHL,2016,http://geodesy.unr.edu/gps_timeseries/trop/BMHL/BMHL.2016.trop.zip,34.2514,-116.053,722.632
BNSL,2016,http://geodesy.unr.edu/gps_timeseries/trop/BNSL/BNSL.2016.trop.zip,33.2581,-117.23609999999996,37.448
BODI,2016,http://geodesy.unr.edu/gps_timeseries/trop/BODI/BODI.2016.trop.zip,38.2165,-118.969,2468.9179999999997
BOMG,2016,http://geodesy.unr.edu/gps_timeseries/trop/BOMG/BOMG.2016.trop.zip,33.3646,-115.72969999999998,-84.205
BRAD,2016,http://geodesy.unr.edu/gps_timeseries/trop/BRAD/BRAD.2016.trop.zip,39.7774,-119.05150000000003,1325.7320000000002
BRAN,2016,http://geodesy.unr.edu/gps_timeseries/trop/BRAN/BRAN.2016.trop.zip,34.1849,-118.277,246.245
BRAW,2016,http://geodesy.unr.edu/gps_timeseries/trop/BRAW/BRAW.2016.trop.zip,32.9784,-115.52179999999998,-64.96600000000001
BRD1,2016,http://geodesy.unr.edu/gps_timeseries/trop/BRD1/BRD1.2016.trop.zip,39.8093,-119.00279999999998,1247.393
BRDY,2016,http://geodesy.unr.edu/gps_timeseries/trop/BRDY/BRDY.2016.trop.zip,39.7813,-119.0086,1269.0919999999999
BRIB,2016,http://geodesy.unr.edu/gps_timeseries/trop/BRIB/BRIB.2016.trop.zip,37.9194,-122.1526,262.268
BRIC,2016,http://geodesy.unr.edu/gps_timeseries/trop/BRIC/BRIC.2016.trop.zip,37.9194,-122.1526,263.176
BRID,2016,http://geodesy.unr.edu/gps_timeseries/trop/BRID/BRID.2016.trop.zip,38.207,-119.31100000000004,2127.489
BROK,2016,http://geodesy.unr.edu/gps_timeseries/trop/BROK/BROK.2016.trop.zip,39.1688,-117.94259999999996,1820.646
BRPK,2016,http://geodesy.unr.edu/gps_timeseries/trop/BRPK/BRPK.2016.trop.zip,34.6823,-118.5768,1729.111
BRVL,2016,http://geodesy.unr.edu/gps_timeseries/trop/BRVL/BRVL.2016.trop.zip,38.4942,-120.04129999999998,2387.859
BSRY,2016,http://geodesy.unr.edu/gps_timeseries/trop/BSRY/BSRY.2016.trop.zip,34.9186,-117.012,613.472
BTDM,2016,http://geodesy.unr.edu/gps_timeseries/trop/BTDM/BTDM.2016.trop.zip,34.2928,-118.1882,678.2439999999999
BUEG,2016,http://geodesy.unr.edu/gps_timeseries/trop/BUEG/BUEG.2016.trop.zip,34.6128,-120.19640000000004,74.803
BURR,2016,http://geodesy.unr.edu/gps_timeseries/trop/BURR/BURR.2016.trop.zip,40.5189,-119.839,1252.258
BUTM,2016,http://geodesy.unr.edu/gps_timeseries/trop/BUTM/BUTM.2016.trop.zip,37.3464,-118.55489999999998,1779.381
BUTT,2016,http://geodesy.unr.edu/gps_timeseries/trop/BUTT/BUTT.2016.trop.zip,41.4789,-119.84069999999996,1747.6670000000001
BVAL,2016,http://geodesy.unr.edu/gps_timeseries/trop/BVAL/BVAL.2016.trop.zip,39.5654,-120.23720000000004,2042.5620000000001
BVPP,2016,http://geodesy.unr.edu/gps_timeseries/trop/BVPP/BVPP.2016.trop.zip,35.1573,-119.34749999999997,123.05
CA00,2016,http://geodesy.unr.edu/gps_timeseries/trop/CA00/CA00.2016.trop.zip,34.4126,-118.5537,332.89
CA99,2016,http://geodesy.unr.edu/gps_timeseries/trop/CA99/CA99.2016.trop.zip,37.6446,-118.8967,2391.538
CABK,2016,http://geodesy.unr.edu/gps_timeseries/trop/CABK/CABK.2016.trop.zip,35.3507,-118.9688,92.48100000000001
CABU,2016,http://geodesy.unr.edu/gps_timeseries/trop/CABU/CABU.2016.trop.zip,35.5,-119.546,49.788999999999994
CAC1,2016,http://geodesy.unr.edu/gps_timeseries/trop/CAC1/CAC1.2016.trop.zip,33.7992,-116.4056,78.938
CAC2,2016,http://geodesy.unr.edu/gps_timeseries/trop/CAC2/CAC2.2016.trop.zip,35.0998,-117.98929999999996,715.8
CACC,2016,http://geodesy.unr.edu/gps_timeseries/trop/CACC/CACC.2016.trop.zip,41.7456,-124.1843,-21.958000000000002
CACH,2016,http://geodesy.unr.edu/gps_timeseries/trop/CACH/CACH.2016.trop.zip,39.7141,-121.8053,43.424
CACM,2016,http://geodesy.unr.edu/gps_timeseries/trop/CACM/CACM.2016.trop.zip,32.6246,-116.4753,769.0310000000001
CACO,2016,http://geodesy.unr.edu/gps_timeseries/trop/CACO/CACO.2016.trop.zip,36.1764,-120.3596,193.78099999999998
CACT,2016,http://geodesy.unr.edu/gps_timeseries/trop/CACT/CACT.2016.trop.zip,33.6551,-115.98990000000003,518.433
CAD1,2016,http://geodesy.unr.edu/gps_timeseries/trop/CAD1/CAD1.2016.trop.zip,35.7594,-119.24379999999996,69.584
CADY,2016,http://geodesy.unr.edu/gps_timeseries/trop/CADY/CADY.2016.trop.zip,37.728,-122.505,-4.121
CAE1,2016,http://geodesy.unr.edu/gps_timeseries/trop/CAE1/CAE1.2016.trop.zip,34.7513,-115.23000000000002,515.3240000000001
CAE2,2016,http://geodesy.unr.edu/gps_timeseries/trop/CAE2/CAE2.2016.trop.zip,34.7511,-115.2299,515.312
CAEC,2016,http://geodesy.unr.edu/gps_timeseries/trop/CAEC/CAEC.2016.trop.zip,32.7914,-115.56489999999997,-41.785
CAEG,2016,http://geodesy.unr.edu/gps_timeseries/trop/CAEG/CAEG.2016.trop.zip,38.3811,-121.36509999999998,-9.811
CAEL,2016,http://geodesy.unr.edu/gps_timeseries/trop/CAEL/CAEL.2016.trop.zip,40.4217,-120.7029,1456.86
CAFA,2016,http://geodesy.unr.edu/gps_timeseries/trop/CAFA/CAFA.2016.trop.zip,38.2491,-122.0679,-12.122
CAFP,2016,http://geodesy.unr.edu/gps_timeseries/trop/CAFP/CAFP.2016.trop.zip,36.424,-120.10199999999998,38.521
CAFR,2016,http://geodesy.unr.edu/gps_timeseries/trop/CAFR/CAFR.2016.trop.zip,36.8144,-119.7475,90.45700000000001
CAGD,2016,http://geodesy.unr.edu/gps_timeseries/trop/CAGD/CAGD.2016.trop.zip,34.1284,-117.82700000000001,249.33900000000003
CAGW,2016,http://geodesy.unr.edu/gps_timeseries/trop/CAGW/CAGW.2016.trop.zip,32.7121,-114.9432,22.134
CAHA,2016,http://geodesy.unr.edu/gps_timeseries/trop/CAHA/CAHA.2016.trop.zip,36.3234,-119.62279999999998,46.902
CAHB,2016,http://geodesy.unr.edu/gps_timeseries/trop/CAHB/CAHB.2016.trop.zip,37.5062,-122.4903,-18.779
